id,category,score,created_at
224,history,2,"2026-03-28 11:48:32"
225,math,6,"2026-03-28 11:48:32"
226,science,20,"2026-03-28 11:48:32"
227,history,92,"2026-03-28 11:48:32"
228,math,38,"2026-03-28 11:48:32"
229,science,63,"2026-03-28 11:48:32"
230,history,67,"2026-03-28 11:48:32"
231,math,74,"2026-03-28 11:48:32"
232,science,91,"2026-03-28 11:48:32"
233,history,31,"2026-03-28 11:48:32"
234,math,72,"2026-03-28 11:48:32"
235,science,56,"2026-03-28 11:48:32"
236,history,33,"2026-03-28 11:48:32"
237,math,92,"2026-03-28 11:48:32"
238,science,76,"2026-03-28 11:48:32"
239,history,42,"2026-03-28 11:48:32"
240,math,95,"2026-03-28 11:48:32"
241,science,23,"2026-03-28 11:48:32"
242,history,58,"2026-03-28 11:48:32"
243,math,27,"2026-03-28 11:48:32"
244,science,18,"2026-03-28 11:48:32"
245,history,8,"2026-03-28 11:48:32"
246,math,63,"2026-03-28 11:48:32"
247,science,20,"2026-03-28 11:48:32"
248,history,92,"2026-03-28 11:48:32"
249,math,89,"2026-03-28 11:48:32"
250,science,77,"2026-03-28 11:48:32"
251,history,97,"2026-03-28 11:48:32"
252,math,72,"2026-03-28 11:48:32"
253,science,58,"2026-03-28 11:48:32"
254,history,15,"2026-03-28 11:48:32"
255,math,31,"2026-03-28 11:48:32"
256,science,62,"2026-03-28 11:48:32"
257,history,28,"2026-03-28 11:48:32"
258,math,93,"2026-03-28 11:48:32"
259,science,59,"2026-03-28 11:48:32"
260,history,49,"2026-03-28 11:48:32"
261,math,18,"2026-03-28 11:48:32"
262,science,20,"2026-03-28 11:48:32"
263,history,31,"2026-03-28 11:48:32"
264,math,89,"2026-03-28 11:48:32"
265,science,76,"2026-03-28 11:48:32"
266,history,75,"2026-03-28 11:48:32"
267,math,68,"2026-03-28 11:48:32"
268,science,64,"2026-03-28 11:48:32"
269,history,47,"2026-03-28 11:48:32"
270,math,47,"2026-03-28 11:48:32"
271,science,91,"2026-03-28 11:48:32"
272,history,29,"2026-03-28 11:48:32"
273,math,18,"2026-03-28 11:48:32"
274,science,58,"2026-03-28 11:48:32"
275,history,36,"2026-03-28 11:48:32"
276,math,1,"2026-03-28 11:48:32"
277,science,36,"2026-03-28 11:48:32"
278,history,62,"2026-03-28 11:48:32"
279,math,18,"2026-03-28 11:48:32"
280,science,24,"2026-03-28 11:48:32"
281,history,99,"2026-03-28 11:48:32"
282,math,14,"2026-03-28 11:48:32"
283,science,83,"2026-03-28 11:48:32"
284,history,31,"2026-03-28 11:48:32"
285,math,65,"2026-03-28 11:48:32"
286,science,87,"2026-03-28 11:48:32"
287,history,10,"2026-03-28 11:48:32"
288,math,10,"2026-03-28 11:48:32"
289,science,90,"2026-03-28 11:48:32"
290,history,42,"2026-03-28 11:48:32"
291,math,96,"2026-03-28 11:48:32"
292,science,96,"2026-03-28 11:48:32"
293,history,75,"2026-03-28 11:48:32"
294,math,45,"2026-03-28 11:48:32"
295,science,80,"2026-03-28 11:48:32"
296,history,54,"2026-03-28 11:48:32"
297,math,96,"2026-03-28 11:48:32"
298,science,11,"2026-03-28 11:48:32"
299,history,93,"2026-03-28 11:48:32"
300,math,22,"2026-03-28 11:48:32"
301,science,15,"2026-03-28 11:48:32"
302,history,1,"2026-03-28 11:48:32"
303,math,43,"2026-03-28 11:48:32"
304,science,3,"2026-03-28 11:48:32"
305,history,20,"2026-03-28 11:48:32"
306,math,24,"2026-03-28 11:48:32"
307,science,28,"2026-03-28 11:48:32"
308,history,83,"2026-03-28 11:48:32"
309,math,87,"2026-03-28 11:48:32"
310,science,45,"2026-03-28 11:48:32"
311,history,43,"2026-03-28 11:48:32"
312,math,59,"2026-03-28 11:48:32"
313,science,24,"2026-03-28 11:48:32"
314,history,55,"2026-03-28 11:48:32"
315,math,31,"2026-03-28 11:48:32"
316,science,89,"2026-03-28 11:48:32"
317,history,99,"2026-03-28 11:48:32"
318,math,63,"2026-03-28 11:48:32"
319,science,41,"2026-03-28 11:48:32"
320,history,45,"2026-03-28 11:48:32"
321,math,92,"2026-03-28 11:48:32"
322,science,19,"2026-03-28 11:48:32"
323,history,86,"2026-03-28 11:48:32"
324,math,38,"2026-03-28 11:48:32"
325,science,32,"2026-03-28 11:48:32"
326,history,97,"2026-03-28 11:48:32"
327,math,41,"2026-03-28 11:48:32"
328,science,61,"2026-03-28 11:48:32"
329,history,35,"2026-03-28 11:48:32"
330,math,79,"2026-03-28 11:48:32"
331,science,58,"2026-03-28 11:48:32"
332,history,49,"2026-03-28 11:48:32"
333,math,39,"2026-03-28 11:48:32"
334,science,88,"2026-03-28 11:48:32"
335,history,0,"2026-03-28 11:48:32"
336,math,5,"2026-03-28 11:48:32"
337,science,1,"2026-03-28 11:48:32"
338,history,92,"2026-03-28 11:48:32"
339,math,20,"2026-03-28 11:48:32"
340,science,47,"2026-03-28 11:48:32"
341,history,25,"2026-03-28 11:48:32"
342,math,6,"2026-03-28 11:48:32"
343,science,88,"2026-03-28 11:48:32"
344,history,13,"2026-03-28 11:48:32"
345,math,4,"2026-03-28 11:48:32"
346,science,27,"2026-03-28 11:48:32"
347,history,25,"2026-03-28 11:48:32"
348,math,43,"2026-03-28 11:48:32"
349,science,22,"2026-03-28 11:48:32"
350,history,98,"2026-03-28 11:48:32"
351,math,94,"2026-03-28 11:48:32"
352,science,71,"2026-03-28 11:48:32"
353,history,11,"2026-03-28 11:48:32"
354,math,42,"2026-03-28 11:48:32"
355,science,60,"2026-03-28 11:48:32"
356,history,97,"2026-03-28 11:48:32"
357,math,56,"2026-03-28 11:48:32"
358,science,54,"2026-03-28 11:48:32"
359,history,53,"2026-03-28 11:48:32"
360,math,9,"2026-03-28 11:48:32"
361,science,7,"2026-03-28 11:48:32"
362,history,22,"2026-03-28 11:48:32"
363,math,79,"2026-03-28 11:48:32"
364,science,10,"2026-03-28 11:48:32"
365,history,5,"2026-03-28 11:48:32"
366,math,48,"2026-03-28 11:48:32"
367,science,83,"2026-03-28 11:48:32"
368,history,83,"2026-03-28 11:48:32"
369,math,53,"2026-03-28 11:48:32"
370,science,88,"2026-03-28 11:48:32"
371,history,21,"2026-03-28 11:48:32"
372,math,78,"2026-03-28 11:48:32"
373,science,1,"2026-03-28 11:48:32"
374,history,25,"2026-03-28 11:48:32"
375,math,26,"2026-03-28 11:48:32"
376,science,16,"2026-03-28 11:48:32"
377,history,61,"2026-03-28 11:48:32"
378,math,5,"2026-03-28 11:48:32"
379,science,36,"2026-03-28 11:48:32"
380,history,97,"2026-03-28 11:48:32"
381,math,79,"2026-03-28 11:48:32"
382,science,9,"2026-03-28 11:48:32"
383,history,82,"2026-03-28 11:48:32"
384,math,60,"2026-03-28 11:48:32"
385,science,21,"2026-03-28 11:48:32"
386,history,35,"2026-03-28 11:48:32"
387,math,52,"2026-03-28 11:48:32"
388,science,91,"2026-03-28 11:48:32"
389,history,91,"2026-03-28 11:48:32"
390,math,98,"2026-03-28 11:48:32"
391,science,37,"2026-03-28 11:48:32"
392,history,72,"2026-03-28 11:48:32"
393,math,16,"2026-03-28 11:48:32"
394,science,50,"2026-03-28 11:48:32"
395,history,23,"2026-03-28 11:48:32"
396,math,21,"2026-03-28 11:48:32"
397,science,31,"2026-03-28 11:48:32"
398,history,67,"2026-03-28 11:48:32"
399,math,5,"2026-03-28 11:48:32"
400,science,44,"2026-03-28 11:48:32"
401,history,94,"2026-03-28 11:48:32"
402,math,29,"2026-03-28 11:48:32"
403,science,38,"2026-03-28 11:48:32"
404,history,28,"2026-03-28 11:48:32"
405,math,17,"2026-03-28 11:48:32"
406,science,81,"2026-03-28 11:48:32"
407,history,85,"2026-03-28 11:48:32"
408,math,12,"2026-03-28 11:48:32"
409,science,83,"2026-03-28 11:48:32"
410,history,60,"2026-03-28 11:48:32"
411,math,60,"2026-03-28 11:48:32"
412,science,77,"2026-03-28 11:48:32"
413,history,15,"2026-03-28 11:48:32"
414,math,62,"2026-03-28 11:48:32"
415,science,54,"2026-03-28 11:48:32"
416,history,56,"2026-03-28 11:48:32"
417,math,62,"2026-03-28 11:48:32"
418,science,22,"2026-03-28 11:48:32"
419,history,62,"2026-03-28 11:48:32"
420,math,24,"2026-03-28 11:48:32"
421,science,49,"2026-03-28 11:48:32"
422,history,71,"2026-03-28 11:48:32"
423,math,65,"2026-03-28 11:48:32"
424,science,14,"2026-03-28 11:48:32"
425,history,56,"2026-03-28 11:48:32"
426,math,6,"2026-03-28 11:48:32"
427,science,70,"2026-03-28 11:48:32"
428,history,12,"2026-03-28 11:48:32"
429,math,54,"2026-03-28 11:48:32"
430,science,30,"2026-03-28 11:48:32"
431,history,52,"2026-03-28 11:48:32"
432,math,27,"2026-03-28 11:48:32"
433,science,55,"2026-03-28 11:48:32"
434,history,95,"2026-03-28 11:48:32"
435,math,46,"2026-03-28 11:48:32"
436,science,48,"2026-03-28 11:48:32"
437,history,92,"2026-03-28 11:48:32"
438,math,83,"2026-03-28 11:48:32"
439,science,69,"2026-03-28 11:48:32"
440,history,52,"2026-03-28 11:48:32"
441,math,34,"2026-03-28 11:48:32"
442,science,0,"2026-03-28 11:48:32"
443,history,11,"2026-03-28 11:48:32"
444,math,77,"2026-03-28 11:48:32"
445,science,40,"2026-03-28 11:48:32"
446,history,42,"2026-03-28 11:48:32"
447,math,20,"2026-03-28 11:48:32"
448,science,49,"2026-03-28 11:48:32"
449,history,24,"2026-03-28 11:48:32"
450,math,57,"2026-03-28 11:48:32"
451,science,7,"2026-03-28 11:48:32"
452,history,54,"2026-03-28 11:48:32"
453,math,67,"2026-03-28 11:48:32"
454,science,5,"2026-03-28 11:48:32"
455,history,53,"2026-03-28 11:48:32"
456,math,23,"2026-03-28 11:48:32"
457,science,67,"2026-03-28 11:48:32"
458,history,80,"2026-03-28 11:48:32"
459,math,82,"2026-03-28 11:48:32"
460,science,93,"2026-03-28 11:48:32"
461,history,74,"2026-03-28 11:48:32"
462,math,4,"2026-03-28 11:48:32"
463,science,29,"2026-03-28 11:48:32"
464,history,33,"2026-03-28 11:48:32"
465,math,73,"2026-03-28 11:48:32"
466,science,2,"2026-03-28 11:48:32"
467,history,67,"2026-03-28 11:48:32"
468,math,99,"2026-03-28 11:48:32"
469,science,43,"2026-03-28 11:48:32"
470,history,16,"2026-03-28 11:48:32"
471,math,49,"2026-03-28 11:48:32"
472,science,88,"2026-03-28 11:48:32"
473,history,92,"2026-03-28 11:48:32"
474,math,37,"2026-03-28 11:48:32"
475,science,6,"2026-03-28 11:48:32"
476,history,21,"2026-03-28 11:48:32"
477,math,16,"2026-03-28 11:48:32"
478,science,0,"2026-03-28 11:48:32"
479,history,86,"2026-03-28 11:48:32"
480,math,40,"2026-03-28 11:48:32"
481,science,46,"2026-03-28 11:48:32"
482,history,43,"2026-03-28 11:48:32"
483,math,93,"2026-03-28 11:48:32"
484,science,36,"2026-03-28 11:48:32"
485,history,56,"2026-03-28 11:48:32"
486,math,66,"2026-03-28 11:48:32"
487,science,85,"2026-03-28 11:48:32"
488,history,32,"2026-03-28 11:48:32"
489,math,64,"2026-03-28 11:48:32"
490,science,1,"2026-03-28 11:48:32"
491,history,11,"2026-03-28 11:48:32"
492,math,4,"2026-03-28 11:48:32"
493,science,98,"2026-03-28 11:48:32"
494,history,40,"2026-03-28 11:48:32"
495,math,33,"2026-03-28 11:48:32"
496,science,86,"2026-03-28 11:48:32"
497,history,22,"2026-03-28 11:48:32"
498,math,28,"2026-03-28 11:48:32"
499,science,29,"2026-03-28 11:48:32"
500,history,4,"2026-03-28 11:48:32"
501,math,12,"2026-03-28 11:48:32"
502,science,60,"2026-03-28 11:48:32"
503,history,33,"2026-03-28 11:48:32"
504,math,59,"2026-03-28 11:48:32"
505,science,86,"2026-03-28 11:48:32"
506,history,78,"2026-03-28 11:48:32"
507,math,79,"2026-03-28 11:48:32"
508,science,19,"2026-03-28 11:48:32"
509,history,88,"2026-03-28 11:48:32"
510,math,18,"2026-03-28 11:48:32"
511,science,6,"2026-03-28 11:48:32"
512,history,99,"2026-03-28 11:48:32"
513,math,29,"2026-03-28 11:48:32"
514,science,73,"2026-03-28 11:48:32"
515,history,66,"2026-03-28 11:48:32"
516,math,16,"2026-03-28 11:48:32"
517,science,66,"2026-03-28 11:48:32"
518,history,34,"2026-03-28 11:48:32"
519,math,30,"2026-03-28 11:48:32"
520,science,26,"2026-03-28 11:48:32"
521,history,43,"2026-03-28 11:48:32"
522,math,71,"2026-03-28 11:48:32"
523,science,69,"2026-03-28 11:48:32"
524,history,18,"2026-03-28 11:48:32"
525,math,99,"2026-03-28 11:48:32"
526,science,52,"2026-03-28 11:48:32"
527,history,13,"2026-03-28 11:48:32"
528,math,4,"2026-03-28 11:48:32"
529,science,55,"2026-03-28 11:48:32"
530,history,58,"2026-03-28 11:48:32"
531,math,59,"2026-03-28 11:48:32"
532,science,67,"2026-03-28 11:48:32"
533,history,56,"2026-03-28 11:48:32"
534,math,52,"2026-03-28 11:48:32"
535,science,54,"2026-03-28 11:48:32"
536,history,95,"2026-03-28 11:48:32"
537,math,72,"2026-03-28 11:48:32"
538,science,70,"2026-03-28 11:48:32"
539,history,3,"2026-03-28 11:48:32"
540,math,43,"2026-03-28 11:48:32"
541,science,89,"2026-03-28 11:48:32"
542,history,69,"2026-03-28 11:48:32"
543,math,55,"2026-03-28 11:48:32"
544,science,58,"2026-03-28 11:48:32"
545,history,15,"2026-03-28 11:48:32"
546,math,66,"2026-03-28 11:48:32"
547,science,33,"2026-03-28 11:48:32"
548,history,26,"2026-03-28 11:48:32"
549,math,29,"2026-03-28 11:48:32"
550,science,97,"2026-03-28 11:48:32"
551,history,91,"2026-03-28 11:48:32"
552,math,11,"2026-03-28 11:48:32"
553,science,7,"2026-03-28 11:48:32"
554,history,82,"2026-03-28 11:48:32"
555,math,8,"2026-03-28 11:48:32"
556,science,64,"2026-03-28 11:48:32"
557,history,63,"2026-03-28 11:48:32"
558,math,45,"2026-03-28 11:48:32"
559,science,78,"2026-03-28 11:48:32"
560,history,86,"2026-03-28 11:48:32"
561,math,45,"2026-03-28 11:48:32"
562,science,34,"2026-03-28 11:48:32"
563,history,99,"2026-03-28 11:48:32"
564,math,20,"2026-03-28 11:48:32"
565,science,19,"2026-03-28 11:48:32"
566,history,40,"2026-03-28 11:48:32"
567,math,26,"2026-03-28 11:48:32"
568,science,71,"2026-03-28 11:48:32"
569,history,1,"2026-03-28 11:48:32"
570,math,90,"2026-03-28 11:48:32"
571,science,73,"2026-03-28 11:48:32"
572,history,87,"2026-03-28 11:48:32"
573,math,23,"2026-03-28 11:48:32"
574,science,3,"2026-03-28 11:48:32"
575,history,48,"2026-03-28 11:48:32"
576,math,70,"2026-03-28 11:48:32"
577,science,98,"2026-03-28 11:48:32"
578,history,72,"2026-03-28 11:48:32"
579,math,79,"2026-03-28 11:48:32"
580,science,89,"2026-03-28 11:48:32"
581,history,89,"2026-03-28 11:48:32"
582,math,86,"2026-03-28 11:48:32"
583,science,49,"2026-03-28 11:48:32"
584,history,34,"2026-03-28 11:48:32"
585,math,2,"2026-03-28 11:48:32"
586,science,78,"2026-03-28 11:48:32"
587,history,99,"2026-03-28 11:48:32"
588,math,23,"2026-03-28 11:48:32"
589,science,30,"2026-03-28 11:48:32"
590,history,60,"2026-03-28 11:48:32"
591,math,32,"2026-03-28 11:48:32"
592,science,69,"2026-03-28 11:48:32"
593,history,25,"2026-03-28 11:48:32"
594,math,17,"2026-03-28 11:48:32"
595,science,49,"2026-03-28 11:48:32"
596,history,95,"2026-03-28 11:48:32"
597,math,88,"2026-03-28 11:48:32"
598,science,55,"2026-03-28 11:48:32"
599,history,6,"2026-03-28 11:48:32"
600,math,2,"2026-03-28 11:48:32"
601,science,31,"2026-03-28 11:48:32"
602,history,97,"2026-03-28 11:48:32"
603,math,1,"2026-03-28 11:48:32"
604,science,89,"2026-03-28 11:48:32"
605,history,62,"2026-03-28 11:48:32"
606,math,14,"2026-03-28 11:48:32"
607,science,34,"2026-03-28 11:48:32"
608,history,71,"2026-03-28 11:48:32"
609,math,74,"2026-03-28 11:48:32"
610,science,25,"2026-03-28 11:48:32"
611,history,41,"2026-03-28 11:48:32"
612,math,34,"2026-03-28 11:48:32"
613,science,77,"2026-03-28 11:48:32"
614,history,51,"2026-03-28 11:48:32"
615,math,63,"2026-03-28 11:48:32"
616,science,58,"2026-03-28 11:48:32"
617,history,83,"2026-03-28 11:48:32"
618,math,30,"2026-03-28 11:48:32"
619,science,22,"2026-03-28 11:48:32"
620,history,86,"2026-03-28 11:48:32"
621,math,12,"2026-03-28 11:48:32"
622,science,10,"2026-03-28 11:48:32"
623,history,17,"2026-03-28 11:48:32"
624,math,58,"2026-03-28 11:48:32"
625,science,48,"2026-03-28 11:48:32"
626,history,44,"2026-03-28 11:48:32"
627,math,25,"2026-03-28 11:48:32"
628,science,58,"2026-03-28 11:48:32"
629,history,22,"2026-03-28 11:48:32"
630,math,28,"2026-03-28 11:48:32"
631,science,79,"2026-03-28 11:48:32"
632,history,53,"2026-03-28 11:48:32"
633,math,79,"2026-03-28 11:48:32"
634,science,89,"2026-03-28 11:48:32"
635,history,68,"2026-03-28 11:48:32"
636,math,87,"2026-03-28 11:48:32"
637,science,27,"2026-03-28 11:48:32"
638,history,22,"2026-03-28 11:48:32"
639,math,69,"2026-03-28 11:48:32"
640,science,26,"2026-03-28 11:48:32"
641,history,99,"2026-03-28 11:48:32"
642,math,82,"2026-03-28 11:48:32"
643,science,97,"2026-03-28 11:48:32"
644,history,91,"2026-03-28 11:48:32"
645,math,50,"2026-03-28 11:48:32"
646,science,15,"2026-03-28 11:48:32"
647,history,91,"2026-03-28 11:48:32"
648,math,22,"2026-03-28 11:48:32"
649,science,20,"2026-03-28 11:48:32"
650,history,33,"2026-03-28 11:48:32"
651,math,67,"2026-03-28 11:48:32"
652,science,12,"2026-03-28 11:48:32"
653,history,55,"2026-03-28 11:48:32"
654,math,49,"2026-03-28 11:48:32"
655,science,40,"2026-03-28 11:48:32"
656,history,23,"2026-03-28 11:48:32"
657,math,79,"2026-03-28 11:48:32"
658,science,72,"2026-03-28 11:48:32"
659,history,13,"2026-03-28 11:48:32"
660,math,55,"2026-03-28 11:48:32"
661,science,37,"2026-03-28 11:48:32"
662,history,44,"2026-03-28 11:48:32"
663,math,43,"2026-03-28 11:48:32"
664,science,3,"2026-03-28 11:48:32"
665,history,2,"2026-03-28 11:48:32"
